the_geom,unique_id,site_name,on_year,manufac,model,type_tower,MW_turbine,total_ht,tower_h,blade_l,rotor_dia,rotor_s_a,lat_DD,long_DD,state,county,conf_attr,conf_loc,WENDI_name,EIA_name,FAA_jdate,FAA_AGL,FAA_ORS,image_name,image_year,comments
MULTIPOINT ((-103.1781522360001 40.93538018570023)),16509,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9354,-103.1782,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-103.1856354160001 40.935222757800034)),16510,Ridge Crest Wind,2001,NEG Micon,NM52_900,monopole,0.9,96.6,70.5,26.1,52.2,2140.08,40.9352,-103.1856,CO,Logan,2,2,Ridge Crest Wind,Unknown,-99999,-99999,unknown,Bing Maps Aerial,unknown,AGL and total height have small difference
MULTIPOINT ((-102.6509279150001 37.36230349710007)),16511,Lamar Wind Energy Project,2004,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.3623,-102.6509,CO,Baca,2,2,Unknown,Unknown,2004228,115,08-001090,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8963674590001 37.65196860690003)),16512,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.652,-102.8964,CO,Bent,2,2,Unknown,Unknown,2011095,119,08-020448,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8871615120001 37.65231440820002)),16513,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6523,-102.8872,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020149,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.88359221900009 37.652332673400124)),16514,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6523,-102.8836,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020140,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8799535490001 37.65235447320008)),16515,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6524,-102.88,CO,Bent,2,2,Unknown,Unknown,2011095,119,08-020451,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.87635422800011 37.65237012360004)),16516,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6524,-102.8764,CO,Bent,2,2,Unknown,Unknown,2007154,119,08-001296,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.9011514380001 37.65296495889997)),16517,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.653,-102.9012,CO,Bent,2,2,Unknown,Unknown,2011095,119,08-020449,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.9046308710001 37.65326247540008)),16518,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6533,-102.9046,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020148,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.9077986890001 37.65440592030001)),16519,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6544,-102.9078,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020147,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.91133277100012 37.655318430100024)),16520,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6553,-102.9113,CO,Bent,2,2,Unknown,Unknown,2011095,119,08-020450,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.9146545370001 37.65620806490011)),16521,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6562,-102.9147,CO,Bent,2,2,Unknown,Unknown,2011300,119,08-020134,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8645046130001 37.66695042860005)),16522,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.667,-102.8645,CO,Bent,2,2,Unknown,Unknown,2012125,119,08-020137,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8612780680001 37.6669659264001)),16523,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.667,-102.8613,CO,Bent,2,2,Unknown,Unknown,2008067,119,08-020125,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8573251440001 37.66700599789998)),16524,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.667,-102.8573,CO,Bent,2,2,Unknown,Unknown,2008067,119,08-020127,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8514456930001 37.66816577580006)),16525,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6682,-102.8514,CO,Bent,2,2,Unknown,Unknown,2008067,119,08-020126,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8446537260001 37.6681937188)),16526,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6682,-102.8447,CO,Bent,2,2,Unknown,Unknown,2008067,119,08-020132,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8412114670001 37.668137044000005)),16527,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6681,-102.8412,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020138,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8477987140001 37.66825449500007)),16528,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6683,-102.8478,CO,Bent,2,2,Unknown,Unknown,2008067,119,08-020128,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.64061237700011 37.67103023340003)),16529,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.671,-102.6406,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001078,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6538181800001 37.67103009870007)),16530,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.671,-102.6538,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001073,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6786000980001 37.671059494400055)),16531,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6711,-102.6786,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001070,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6813148690001 37.67106106010006)),16532,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6711,-102.6813,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001069,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6758734130001 37.67106047830007)),16533,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6711,-102.6759,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001071,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6511737500001 37.67102754320003)),16534,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.671,-102.6512,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001074,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6432598280001 37.67103261260002)),16535,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.671,-102.6433,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001077,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.64590223200013 37.671029571000034)),16536,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.671,-102.6459,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001076,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6485430060001 37.67102522070008)),16537,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.671,-102.6485,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001075,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6564575620001 37.67102720989995)),16538,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.671,-102.6565,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001072,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8994926340001 37.67168221010001)),16539,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6717,-102.8995,CO,Bent,2,2,Unknown,Unknown,2007123,119,08-001276,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8935855060001 37.671625653500016)),16540,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6716,-102.8936,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020142,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8966953150001 37.67163603049989)),16541,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6716,-102.8967,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020141,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.88661519900013 37.67166018710004)),16542,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6717,-102.8866,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020145,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8900117400001 37.67166675900003)),16543,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6717,-102.89,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020143,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6244491670001 37.67174955660002)),16544,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6717,-102.6244,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001083,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6271695490001 37.671752681800086)),16545,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6718,-102.6272,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001082,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8833545260001 37.67168434170002)),16546,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6717,-102.8834,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020146,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8796100500001 37.67167429850001)),16547,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6717,-102.8796,CO,Bent,2,2,Unknown,Unknown,2008067,119,08-020129,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8763600500001 37.67171318720002)),16548,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6717,-102.8764,CO,Bent,2,2,Unknown,Unknown,2007154,119,08-001297,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.80299818900009 37.67402555580006)),16549,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.674,-102.803,CO,Bent,2,2,Unknown,Unknown,2007362,119,08-020072,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8062911610001 37.67379476690005)),16550,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6738,-102.8063,CO,Bent,2,2,Unknown,Unknown,2007362,119,08-020071,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8103082140001 37.674019811200026)),16551,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.674,-102.8103,CO,Bent,2,2,Unknown,Unknown,2012128,119,08-020070,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.81337908900012 37.6743994446001)),16552,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6744,-102.8134,CO,Bent,2,2,Unknown,Unknown,2008066,119,08-020122,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8179898250001 37.67411629530005)),16553,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6741,-102.818,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020135,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8213045490001 37.67404821620004)),16554,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.674,-102.8213,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020136,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.82750694300012 37.6745039783)),16555,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6745,-102.8275,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020144,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6364531140001 37.67416821609993)),16556,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6742,-102.6365,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001079,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.63372669500012 37.67416541840004)),16557,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6742,-102.6337,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001080,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6310053110001 37.67416801600013)),16558,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6742,-102.631,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001081,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8329130600001 37.67437589000003)),16559,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6744,-102.8329,CO,Bent,2,2,Unknown,Unknown,2008067,119,08-020133,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8364857480001 37.674208865100056)),16560,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6742,-102.8365,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020139,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6881232610001 37.674417374700035)),16561,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.6881,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001067,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6937008130001 37.67442562820001)),16562,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.6937,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001065,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6965116070001 37.67442144280005)),16563,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.6965,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001064,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6992833410001 37.67442177250005)),16564,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.6993,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001063,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6909288650001 37.674422943200014)),16565,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.6909,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001066,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.68534569700012 37.67441973120008)),16566,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.6853,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001068,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.70209011000013 37.67442363619997)),16567,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.7021,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001062,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.7048648660001 37.674423805600036)),16568,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.7049,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001061,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.70767889400011 37.67442181069993)),16569,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.7077,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001060,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.7104568840001 37.674424167799984)),16570,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6744,-102.7105,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001059,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.71490851900012 37.675169540800034)),16571,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6752,-102.7149,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001058,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.7179106980001 37.67516662350002)),16572,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6752,-102.7179,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001057,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.86848530500009 37.681292221300104)),16573,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6813,-102.8685,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020150,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8724389890001 37.68181104260004)),16574,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6818,-102.8724,CO,Bent,2,2,Unknown,Unknown,2007123,119,08-001277,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8635502140001 37.6826087713)),16575,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6826,-102.8636,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020151,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.8601251880001 37.68175985069998)),16576,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6818,-102.8601,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020152,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.85789035400012 37.68387730299999)),16577,Twin Buttes,2007,GE,1.5SLE,monopole,1.5,118.5,80,38.5,77,4656.62,37.6839,-102.8579,CO,Bent,2,2,Unknown,Unknown,2008070,119,08-020153,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6950639100001 37.68489740160004)),16578,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6849,-102.6951,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001048,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6922852470001 37.68547667370004)),16579,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6855,-102.6923,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001049,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6867313620001 37.68552865090001)),16580,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6855,-102.6867,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001051,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6894484570001 37.68556275009998)),16581,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6856,-102.6894,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001050,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6597936660001 37.68591493710001)),16582,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6859,-102.6598,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001055,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6728468500001 37.68592215970009)),16583,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6859,-102.6728,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001054,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6570650780001 37.68592171490002)),16584,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6859,-102.6571,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2004011,114,08-001056,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.6701540960001 37.68592223560007)),16585,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6859,-102.6702,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001053,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.67701913900011 37.68619489370005)),16586,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6862,-102.677,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001052,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.7050014500001 37.68636782389999)),16587,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6864,-102.705,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001047,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.7076516650001 37.68635007990001)),16588,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6864,-102.7077,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001046,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.71029045600011 37.686357738000055)),16589,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6864,-102.7103,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001045,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.71337039500013 37.68635875950005)),16590,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6864,-102.7134,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001044,Bing Maps Aerial,unknown,
MULTIPOINT ((-102.7164596120001 37.686361634500024)),16591,Colorado Green,2003,GE,1.5S,monopole,1.5,115.25,80,35.25,70.5,3903.62,37.6864,-102.7165,CO,Prowers,2,2,Colorado Green Wind Power Project,Colorado Green Holdings LLC,2003362,114,08-001043,Bing Maps Aerial,unknown,
